Transaction Date,Post Date,Description,Amount
08NOV,07NOV,AGODA.COM WM HOTEL H INTERNET SG,1396.56
08NOV,06NOV,KIKUSAN (1623) SHATIN HK,124.3
08NOV,07NOV,M SQUARE HongKong HK,100.0
09NOV,07NOV,CITY SUPER LIMITED SHATIN HK,88.0
09NOV,08NOV,PHO NHO KAYA SHATIN HK,132.0
09NOV,07NOV,KEETA HONG KONG HK,75.0
11NOV,09NOV,OCL* OCTOPUS AD5035457 KOWLOON BAY HK,300.0
11NOV,09NOV,DELIVEROO CENTRAL HK,136.1
11NOV,09NOV,DELIVEROO PLUS - HK CENTRAL HK,98.0
12NOV,10NOV,KIKUSAN (1623) SHATIN HK,107.8
12NOV,11NOV,Decathlon Causeway Bay Causeway Bay HK,59.0
12NOV,11NOV,OCL* OCTOPUS AD5895506 KOWLOON BAY HK,300.0
12NOV,12NOV,IFS PAYMENT - THANK YOU,5000.0
13NOV,11NOV,KEETA HONG KONG HK,75.0
13NOV,11NOV,UberBV Amsterdam NL,93.74
13NOV,11NOV,DCC FEE-NON-HK MERCHANT,0.94
13NOV,12NOV,OCL* OCTOPUS AD6115761 KOWLOON BAY HK,300.0
15NOV,13NOV,KIKUSAN (1623) SHATIN HK,66.0
16NOV,14NOV,KIKUSAN (1623) SHATIN HK,124.3
18NOV,16NOV,KFC - SHOP 207 HONG KONG HK,43.0
18NOV,16NOV,OCL* OCTOPUS AD7373222 KOWLOON BAY HK,300.0
18NOV,17NOV,DELIVEROO CENTRAL HK,293.0
18NOV,16NOV,DELIVEROO CENTRAL HK,113.8
18NOV,16NOV,KPAY*THE LOOKING GLASS HONGKONG HK,221.0
18NOV,16NOV,Boutique Bars Limited Central & Wes HK,166.0
18NOV,16NOV,FINI'S CENTRAL HK,913.0
18NOV,15NOV,KEETA HONG KONG HK,75.0
20NOV,18NOV,KIKUSAN (1623) SHATIN HK,66.0
21NOV,19NOV,KIKUSAN (1623) SHATIN HK,118.8
21NOV,20NOV,BBMSL*STAIN PLUS HongKong HK,28.0
22NOV,21NOV,OCL* OCTOPUS AD8819157 KOWLOON BAY HK,300.0
22NOV,20NOV,KIKUSAN (1623) SHATIN HK,124.3
23NOV,21NOV,AMAZON MKTPL*J782230L3 Amzn.com/bill US,270.89
23NOV,21NOV,DCC FEE-NON-HK MERCHANT,2.71
23NOV,21NOV,KIKUSAN (1623) SHATIN HK,66.0
25NOV,21NOV,CIRCLE K 538 07909 HONG KONG HK,11.0
25NOV,22NOV,UBR* PENDING.UBER.COM AMSTERDAM NL,241.72
25NOV,22NOV,DCC FEE-NON-HK MERCHANT,2.42
25NOV,23NOV,OCL* OCTOPUS AD9492129 KOWLOON BAY HK,300.0
25NOV,23NOV,UBR* PENDING.UBER.COM AMSTERDAM NL,58.77
25NOV,23NOV,DCC FEE-NON-HK MERCHANT,0.59
25NOV,23NOV,DELIVEROO CENTRAL HK,82.9
25NOV,22NOV,TAKANO RAMEN - NEW TOWN P Hong Kong HK,378.0
25NOV,22NOV,KEETA HONG KONG HK,75.0
25NOV,25NOV,IFS PAYMENT - THANK YOU,4727.18
26NOV,24NOV,KEETA HONG KONG HK,78.0
26NOV,25NOV,OCL* OCTOPUS AD0274293 KOWLOON BAY HK,300.0
26NOV,24NOV,KEETA HONG KONG HK,67.0
27NOV,25NOV,KEETA HONG KONG HK,92.0
28NOV,27NOV,DELIVEROO CENTRAL HK,136.1
28NOV,26NOV,KIKUSAN (1623) SHATIN HK,96.8
28NOV,26NOV,CITY SUPER LIMITED SHATIN HK,169.0
28NOV,27NOV,OCL* OCTOPUS AD0787869 KOWLOON BAY HK,300.0
29NOV,27NOV,KIKUSAN (1623) SHATIN HK,124.3
30NOV,28NOV,KIKUSAN (1623) SHATIN HK,96.8
30NOV,29NOV,Decathlon TaiKoo Shing Tai Koo Shing HK,58.0
30NOV,28NOV,KEETA HONG KONG HK,78.0
30NOV,30NOV,IFS PAYMENT - THANK YOU,5000.0
02DEC,01DEC,DELIVEROO CENTRAL HK,108.0
02DEC,01DEC,FUSION 674RA SHATIN HK,148.7
02DEC,30NOV,UBR* PENDING.UBER.COM AMSTERDAM NL,52.18
02DEC,30NOV,DCC FEE-NON-HK MERCHANT,0.52
02DEC,29NOV,BIG FISH 83800 HONG KONG HK,1707.0
02DEC,29NOV,OCL* OCTOPUS AD1589417 KOWLOON BAY HK,300.0
02DEC,30NOV,DELIVEROO CENTRAL HK,136.1
02DEC,30NOV,24/7 FITNESS KWUN TONG HK,520.0
02DEC,29NOV,KEETA HONG KONG HK,70.0
03DEC,02DEC,OCL* OCTOPUS AD2532328 KOWLOON BAY HK,300.0
04DEC,02DEC,UBR* PENDING.UBER.COM AMSTERDAM NL,56.22
04DEC,02DEC,DCC FEE-NON-HK MERCHANT,0.56
04DEC,02DEC,THE COMMERCIAL 50100 HONG KONG HK,350.0
04DEC,02DEC,KIKUSAN (1623) SHATIN HK,124.3
05DEC,04DEC,UBER* TRIP CENTRAL AND W HK,65.59
05DEC,03DEC,KEETA HONG KONG HK,107.0
05DEC,03DEC,KEETA HONG KONG HK,123.5
06DEC,05DEC,OUTBACK STEAKHOUSE SHATIN NT HK,162.8
06DEC,05DEC,OCL* OCTOPUS AD3460467 KOWLOON BAY HK,300.0
